Keyword Stats 2026-05-17 at 11_59_20
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
security vulnerability	RON	5000	900%	0%	Low	4	13.76	52.50																	
free compliance software	RON	50	0%	0%	High	74	40.44	117.11																	
open source web application vulnerability scanner	RON	50	0%	0%	Low	30	26.03	84.14																	
soc open source	RON	50	0%	0%	Medium	38	22.12	100.41																	
open source security platform	RON	50	900%	900%	Low	3	19.65	68.05																	
application vulnerability management	RON	500	900%	0%	Low	4	47.64	250.12																	
open source software risks	RON	500	900%	0%	Low	3	20.20	73.40																	
open source vulnerability	RON	50	0%	-90%	Low	7	11.83	34.02																	
vulnerability testing tools open source	RON	50	-100%	-100%	Unknown																				
secure software development framework	RON	500	0%	0%	Low	10	29.71	124.77																	
open source sso solutions	RON	50	0%	0%	Low	23	17.22	57.81																	
scan vulnerability open source	RON	50	0%	-100%	Unknown																				
vulnerability testing software	RON	50	0%	-90%	Low	14	52.50	216.77																	
oss scan	RON	500	0%	0%	Low	9	28.79	110.40																	
audit software open source	RON	50	0%	-90%	Low	26	20.73	88.72																	
java security	RON	500	0%	0%	Low	3	12.68	70.40																	
open source software risk assessment	RON	50	0%	0%	Low	29																			
application security vendors	RON	50	900%	0%	Low	13	75.59	200.10																	
api vulnerability testing	RON	50	0%	0%	Low	13																			
open source security testing tools for web applications	RON	50	0%	0%	Medium	57																			
open source web application scanner	RON	50	-90%	0%	Medium	51	23.55	112.55																	
soc tools open source	RON	50	0%	0%	Medium	45																			
secure application development	RON	500	900%	0%	Low	3	32.40	99.61																	
open vulnerability scanner	RON	50	0%	0%	Medium	43	35.91	208.56																	
open source pentest tools	RON	50	0%	0%	High	68	24.92	103.70																	
penetration testing software open source	RON	50	0%	0%	Medium	49	26.45	155.79																	
website security tools	RON	500	0%	0%	Low	5	41.87	197.03																	
package vulnerability scanner	RON	50	0%	0%	Low	30	18.76	148.02																	
dependency vulnerability scanner	RON	50	0%	0%	Low	19	25.59	125.71																	
api security threats	RON	50	0%	0%	Low	4																			
web security for developers	RON	50	0%	0%	Low	33	25.10	107.14																	
security threats to software applications	RON	500	900%	0%	Low	3	11.68	43.22																	
api security concerns	RON	50	0%	0%	Low	32	25.66	64.11																	
open source security scanning tools	RON	50	0%	0%	Medium	45	21.57	87.87																	
product security	RON	500	0%	0%	Low	4	22.52	66.88																	
security platform	RON	500	900%	0%	Low	10	38.06	160.22																	
application patching	RON	500	0%	0%	Low	3	15.11	177.87																	
latest vulnerabilities	RON	500	0%	0%	Low	30	12.48	36.36																	
open source audit	RON	500	900%	0%	Low	2	9.21	37.62																	
open source risks	RON	500	900%	0%	Low	3	20.20	73.40																	
secure programming	RON	500	0%	0%	Low	22	16.67	78.92																	
oss vulnerabilities	RON	50	0%	0%	Low	1																			
open source cloud security tools	RON	50	0%	0%	Low	14	11.03	87.38																	
development security operations	RON	50	0%	0%	Low	18	51.66	222.33																	
api security software	RON	50	0%	900%	Low	27	222.33	477.33																	
vulnerability software tools	RON	50	0%	0%	Medium	66	45.10	161.73																	
security open source tools	RON	50	0%	0%	Medium	51	18.63	54.03																	
software security tools	RON	50	0%	-90%	Low	22	41.80	250.12																	
secure software development process	RON	50	0%	-90%	Low	26	48.80	254.15																	
open source soc tools	RON	50	0%	0%	Low	20	16.00	57.79																	
security web	RON	5000	0%	0%	Low	20	15.34	49.17																	
vulnerability assessment open source tools	RON	50	0%	-100%	Unknown																				
spring boot vulnerabilities	RON	50	0%	0%	Low	17	12.04	34.69																	
api vulnerabilities	RON	500	900%	0%	Low	12	13.76	57.98																	
node js vulnerabilities	RON	500	0%	0%	Low	10	9.99	32.51																	
patch management platform	RON	50	0%	0%	Low	3																			
free sso solutions	RON	50	0%	0%	Low	1																			
open source pci compliance scanner	RON	50	0%	0%	High	86	12.45	45.97																	
web application security vulnerabilities	RON	500	0%	0%	Low	3	26.68	57.63																	
security tools list	RON	50	0%	0%	Medium	47	14.27	46.91																	
web vulnerabilities	RON	50	0%	-90%	Low	11	12.21	33.97																	
api security issues	RON	50	0%	0%	Low	2																			
open source security projects	RON	50	0%	0%	Low	21	11.94	44.04																	
patch management application	RON	50	0%	-90%	Low	8	132.47	1302.45																	
vulnerability remediation plan	RON	50	0%	0%	Low	30	9.54	68.34																	
software security vulnerabilities	RON	50	900%	0%	Low	8	14.48	56.14																	
open source vulnerability management platform	RON	50	0%	0%	Low	26	18.10	117.04																	
compliance scanning tools	RON	50	0%	0%	Medium	60	91.81	246.00																	
web application security risks	RON	500	900%	0%	Low	2																			
tools to identify security vulnerabilities	RON	50	0%	0%	Medium	43																			
vulnerability tools open source	RON	50	0%	0%	Medium	46																			
open source security vulnerability scanner	RON	50	0%	0%	Medium	51	25.88	84.95																	
open source cloud security	RON	50	0%	0%	Low	17																			
vulnerability website for testing	RON	500	0%	0%	Medium	46	15.44	67.86																	
vulnerability program	RON	50	0%	0%	Low	24	60.42	205.27																	
dev security ops	RON	50	0%	0%	Low	4	10.49	127.93																	
open source windows update management	RON	50	0%	0%	High	68	36.58	188.87																	
software security framework	RON	50	0%	0%	Low	19	32.06	137.30																	
open source web application security scanner	RON	50	-90%	0%	Medium	51	23.55	112.55																	
security test tools	RON	500	0%	-90%	Low	18	29.49	165.49																	
software development and security	RON	500	0%	-90%	Low	8	27.11	123.31																	
website vulnerability	RON	50	0%	-90%	Low	31	16.01	64.43																	
open source security scanning	RON	500	900%	0%	Low	13	16.50	67.55																	
developer security	RON	50	0%	-90%	Low	3																			
windows patch management software open source	RON	50	0%	0%	Low	30	83.02	1020.46																	
open source web application	RON	50	0%	0%	Low	20																			
vulnerability management software open source	RON	50	0%	0%	Medium	53	23.94	116.05																	
cloud scanning tools	RON	50	0%	0%	Medium	60	54.86	333.50																	
dependency scanning tools	RON	50	0%	0%	Low	23	33.28	146.76																	
open source security risks	RON	50	900%	0%	Low	4	21.71	127.96																	
open source web security scanner	RON	50	-90%	0%	Medium	51	23.55	112.55																	
security management tools	RON	50	0%	0%	Low	19	20.99	313.81																	
open source patch management tools	RON	50	0%	0%	Medium	40	109.66	882.43																	
software development security standards	RON	50	0%	0%	Medium	41	11.90	34.73																	
open source software vulnerabilities	RON	50	0%	0%	Low	1																			
open security	RON	500	0%	0%	Low	15	24.94	63.90																	
web application security threats	RON	50	0%	0%	Low	17	12.51	64.79																	
open source patch management tools for windows	RON	50	0%	0%	Medium	50																			
free security tools	RON	50	900%	900%	Low	2	17.16	82.32																	
open source compliance management	RON	50	0%	0%	Low	29																			
application security providers	RON	50	0%	-90%	Low	1																			
pentest open source	RON	50	0%	0%	Medium	49	26.45	155.79																	
open source audit tool	RON	50	0%	0%	Low	2																			
patch manager open source	RON	50	0%	0%	Medium	43																			
key management software open source	RON	50	0%	0%	Low	7																			
soc open source tools	RON	50	0%	0%	High	81	13.14	49.94																	
security risks of open source software	RON	50	0%	0%	Low	22																			
javascript vulnerabilities	RON	50	900%	0%	Low	2																			
secure application development process	RON	50	0%	0%	Medium	47	31.46	86.28																	
open source security inc	RON	50	0%	0%	Low	1																			
vulnerability solutions	RON	50	0%	0%	Low	16	166.00	763.91																	
application security vulnerabilities	RON	500	900%	0%	Low	3	17.34	55.12																	
security issues in web application	RON	50	0%	-90%	Low	1																			
spring boot vulnerability scanner	RON	50	∞	0%	Medium	40																			
javascript security	RON	500	900%	0%	Low	2	9.34	41.04																	
program security	RON	500	0%	0%	Low	6	35.19	147.63																	
api security management	RON	500	0%	0%	Low	1																			
security for developers	RON	50	0%	0%	Low	10																			
application security company	RON	500	0%	0%	Low	11	31.13	170.44																	
white source software	RON	50	0%	0%	Medium	41	19.65	111.80																	
open source security vulnerabilities	RON	50	0%	-90%	Low	1																			
vulnerability tools list	RON	50	0%	0%	High	74	25.95	129.59																	
open source website security scanner	RON	50	-90%	0%	Medium	51	23.55	112.55																	
enterprise application security	RON	500	900%	0%	Low	3	33.72	154.79																	
api security review	RON	50	0%	0%	Low	13	52.95	319.37																	
open source risk management tools	RON	50	0%	0%	Low	13	22.12	41.47																	
security developer	RON	500	0%	0%	Low	19	12.26	64.39																	
github security tools	RON	50	900%	900%	Low	2	26.98	140.81																	
java vulnerability	RON	500	0%	0%	Low	6	12.62	99.85																	
web application and security	RON	500	0%	-90%	Low	8	28.06	142.17																	
application vulnerability	RON	500	900%	0%	Low	1																			
open source security concerns	RON	50	0%	0%	Low	1																			
node js security	RON	500	0%	-90%	Low	9	22.90	144.90																	
developer security platform	RON	50	-90%	0%	Low	2																			
web application threats	RON	50	0%	-90%	Low	0																			
security patching	RON	5000	0%	0%	High	75	1.37	70.38																	
software development compliance	RON	50	0%	0%	Medium	37																			
software security threats	RON	50	0%	0%	Medium	36																			
web development security	RON	50	0%	-90%	Low	8	21.92	79.75																	
security tools and technologies	RON	50	0%	0%	Medium	42	89.56	145.24																	
open source vulnerability tools	RON	500	0%	0%	Low	10	21.47	109.08																	
security service software	RON	50	0%	-90%	Low	21	19.72	114.83																	
open source security solutions	RON	50	0%	0%	Low	7	35.40	68.86																	
open source scan	RON	500	900%	0%	Low	5	17.30	82.14																	
secure development	RON	500	0%	0%	Low	5	19.53	125.97																	
software security review	RON	500	-90%	-90%	High	94	10.83	66.70																	
chainguard security	RON	50	0%	-90%	Medium	38	6.33	144.52																	
security for apis	RON	50	0%	0%	Medium	44	107.45	472.45																	
php vulnerabilities	RON	500	0%	0%	Low	8	17.08	56.24																	
open source library vulnerability scanner	RON	50	∞	0%	Low	23																			
open source api security	RON	50	0%	0%	Medium	46	33.89	107.58																	
product security framework	RON	50	0%	0%	Low	15	21.92	132.73																	
open source sso server	RON	50	0%	0%	Low	25	11.66	32.16																	
java dependency vulnerability scanner	RON	50	∞	0%	Low	1																			
open source security testing	RON	50	0%	0%	Low	24																			
software vulnerability list	RON	50	0%	0%	Medium	51	13.09	32.69																	
vulnerability patching	RON	500	900%	0%	Low	15	69.48	257.03																	
application scanning software	RON	50	0%	0%	Low	0																			
risk of using open source software	RON	50	0%	0%	Low	19																			
software security issues	RON	50	0%	-90%	Low	2																			
application security management	RON	500	900%	0%	Low	5	67.32	3443.93																	
public api security	RON	50	0%	0%	Medium	40	81.11	177.78																	
angular security vulnerabilities	RON	50	0%	0%	Low	20	17.34	43.57																	
website security vulnerabilities	RON	500	0%	0%	Low	3	26.68	57.63																	
application vulnerability management tools	RON	50	0%	0%	Low	0																			
application software security	RON	500	900%	0%	Low	10	52.35	249.46																	
nexus vulnerability	RON	50	0%	0%	Low	30	34.73	110.93																	
open source enterprise risk management software	RON	50	0%	0%	Low	1																			
open source and security	RON	500	0%	0%	Low	4	20.09	71.81																	
software security systems	RON	50	900%	0%	Low	8	19.69	112.66																	
open source security issues	RON	50	0%	0%	Low	1																			
api risk	RON	50	0%	-90%	Low	7	16.81	200.14																	
open software foundation	RON	50	0%	0%	Low	1																			
react security	RON	500	-90%	-90%	Low	5	16.51	31.22																	
remediation of vulnerabilities	RON	500	0%	-90%	Low	7	54.29	181.93																	
software as a service security	RON	50	0%	-90%	Low	8	80.66	394.24																	
open source tools for vulnerability scanning	RON	50	∞	0%	Medium	55	32.56	116.77																	
security patch management tools	RON	50	0%	0%	Low	10																			
online security tools	RON	5000	0%	0%	Low	13	23.66	66.50																	
identifying security vulnerabilities	RON	50	0%	0%	Low	10	18.33	64.24																	
private tools	RON	50	0%	0%	Low	11																			
open source key management	RON	50	0%	0%	Low	7																			
application security risks	RON	50	0%	-90%	Low	0																			
list of vulnerabilities	RON	500	0%	0%	Low	12	10.26	28.00																	
secure api development	RON	50	0%	0%	Medium	61	39.13	305.53																	
sso open source solutions	RON	50	0%	0%	Medium	57																			
google open source security	RON	50	0%	0%	Low	4																			
api vulnerability scanner open source	RON	50	0%	0%	High	86																			
angular js vulnerabilities	RON	50	0%	0%	Low	31	16.03	61.96																	
secure open	RON	50	0%	0%	Low	4																			
it security applications	RON	500	900%	0%	Low	10	52.35	249.46																	
security source	RON	500	0%	0%	Low	7	14.02	98.19																	
software end of life	RON	500	0%	-90%	Low	1	61.19	231.60																	
open source pentest	RON	50	0%	0%	Medium	33	21.08	154.49																	
vulnerability fixes	RON	500	0%	0%	Low	19	36.24	163.95																	
web vulnerabilities list	RON	50	0%	0%	Low	31																			
open web application security	RON	50	900%	0%	Low	3	9.00	46.96																	
open source software security tools	RON	500	0%	0%	Low	6	14.94	71.35																	
angular security	RON	50	0%	0%	Low	4																			
open source dependency management	RON	50	0%	0%	Low	0																			
application security compliance	RON	50	0%	0%	Low	14																			
python vulnerabilities	RON	500	900%	0%	Low	3	12.23	54.98																	
software secure	RON	500	0%	-90%	Low	20	18.85	83.20																	
security of website	RON	500	900%	0%	Low	10	18.14	88.71																	
secure software development tools	RON	50	0%	0%	Low	29																			
continuous security	RON	50	0%	0%	Low	6	15.74	190.41																	
secure development framework	RON	50	0%	0%	Medium	46	36.79	131.27																	
vulnerability reporting	RON	500	0%	0%	Low	27	31.80	98.52																	
open source foundation	RON	500	0%	0%	Low	1																			
open source web software	RON	50	0%	0%	Low	0																			
git security	RON	50	0%	-90%	Low	15	30.57	189.56																	
node js security vulnerabilities	RON	500	0%	0%	Low	10	9.99	32.51																	
fix security	RON	50	0%	-90%	Low	3																			
scan oss	RON	500	0%	0%	Low	9	28.79	110.40																	
open source application security	RON	50	0%	0%	Low	0																			
vulnerability scanning program	RON	5000	900%	0%	Low	8	75.37	327.74																	
secure web application development	RON	50	0%	-90%	Low	0																			
spring framework vulnerability	RON	50	0%	0%	Low	10	9.43	58.97																	
secure build	RON	5000	900%	0%	Low	5	12.69	72.84																	
trust source	RON	500	0%	0%	Low	1	26.86	35.75																	
open source security audit	RON	50	0%	0%	Low	22																			
open source scan tool	RON	50	0%	0%	Low	16	18.81	109.13																	
spring boot vulnerability	RON	50	0%	0%	Low	11																			
new security tools	RON	50	0%	0%	High	86																			
patches and updates	RON	50	0%	0%	Low	22																			
software and security	RON	50	0%	0%	Low	3																			
software eol	RON	500	0%	-90%	Low	1	61.19	231.60																	
end of support software	RON	500	0%	-90%	Low	1	61.19	231.60																	
security for software development	RON	500	0%	-90%	Low	8	27.11	123.31																	
security of apps	RON	50	0%	0%	Low	7																			
security test software	RON	50	0%	0%	Low	12																			
chainguard dev	RON	50	900%	900%	Medium	42	4.44	155.63																	
software dependency management tools	RON	50	0%	0%	Low	14																			
secure software engineering	RON	500	900%	0%	Low	5	17.98	88.80																	
latest critical vulnerabilities	RON	50	0%	0%	Low	24																			
list of software vulnerabilities	RON	50	0%	0%	Medium	51	13.09	32.69																	
open source manager	RON	50	0%	0%	Low	13																			
application vulnerabilities list	RON	50	∞	0%	Medium	57																			
vulnerability mgmt	RON	50	0%	0%	Low	32	92.10	238.08																	
web applications and security	RON	50	∞	0%	Low	0																			
identify vulnerabilities	RON	500	0%	0%	Low	12	22.23	75.37																	
cyber security apis	RON	50	900%	0%	Medium	55	36.91	117.49																	
open source web apps	RON	50	0%	0%	Low	12	8.41	29.58																	
software security methods	RON	50	0%	0%	Low	29	16.99	26.19																	
end of life tech	RON	500	0%	-90%	Low	2																			
software based security	RON	50	0%	0%	Low	7																			
infrastructure security tools	RON	50	0%	0%	High	68	70.34	140.02																	
website hardening	RON	50	0%	0%	Low	16	29.10	188.21																	
software security levels	RON	50	0%	0%	Medium	33																			
securing web services	RON	500	0%	0%	Low	5	20.45	67.91																	
latest web application vulnerabilities	RON	50	∞	0%	Low	12																			
oss security scan	RON	50	0%	0%	Low	18	29.84	139.67																	
angular vulnerabilities	RON	50	0%	0%	Low	31	16.03	61.96																	
it security vulnerabilities	RON	500	900%	0%	Low	6	10.56	63.10																	
chainguard blog	RON	50	0%	0%	Low	11	9.00	66.41																	
software product security	RON	50	0%	0%	Medium	43																			
open vulnerability	RON	50	0%	0%	Low	17	30.23	138.48																	
vulnerability detection software	RON	50	0%	0%	Low	5																			
unsupported software	RON	50	0%	0%	Low	5																			
data security vulnerabilities	RON	50	0%	0%	Low	0																			
software security management	RON	500	0%	0%	Low	9	37.64	162.02																	
github security projects	RON	50	0%	-90%	Low	3																			
product security roadmap	RON	50	0%	0%	Low	0																			
it software security	RON	50	∞	0%	Low	14																			
web based vulnerabilities	RON	50	0%	0%	Low	10																			
open source key manager	RON	50	0%	0%	Low	7																			
management open source	RON	50	900%	0%	Low	2	24.14	102.76																	
java security issues	RON	50	0%	-90%	Low	8																			
python package security	RON	50	0%	0%	Low	17	9.94	31.03																	
open source windows management	RON	50	0%	0%	Low	29																			
open source bug bounty	RON	50	0%	0%	Low	0																			
foundation of security	RON	50	0%	0%	Low	20																			
chainguard logo	RON	500	0%	0%	Low	0																			
github security blog	RON	50	0%	0%	Low	0																			
private software	RON	500	0%	-90%	Low	3																			
open source bug bounty platform	RON	50	0%	0%	Low	10																			
vulnerability management team	RON	50	0%	0%	Low	9																			
software dependencies	RON	500	0%	0%	Low	5	27.39	99.78																	
web application security notes	RON	50	0%	0%	Unknown																				
security vulnerability remediation	RON	50	900%	0%	Low	6	60.07	161.98																	
security for software engineers	RON	50	0%	0%	Medium	52																			
vulnerability in software	RON	500	0%	0%	Low	7	13.40	47.85																	
application and security	RON	500	900%	0%	Low	10	52.35	249.46																	
software dependency management	RON	50	0%	0%	Low	14	19.54	144.01																	
software security developer	RON	50	0%	0%	Medium	46	9.52	127.17																	
secure web apps	RON	500	0%	-90%	Low	8	28.06	142.17																	
security program development	RON	50	0%	0%	Low	2																			
secure ends	RON	50	0%	0%	Low	28	41.47	137.46																	
security js	RON	50000	0%	0%	Low	18	0.72	12.73																	
vulnerability in application	RON	50	∞	0%	Low	0																			
secure development methodology	RON	50	0%	-90%	Low	26	48.80	254.15																	
javascript security issues	RON	500	0%	-90%	Low	1																			
dependency security	RON	50	0%	0%	Low	14																			
open web security	RON	50	900%	0%	Low	3	9.00	46.96																	
chainguard inc	RON	50	-90%	-90%	Low	29	4.07	155.63																	
application security projects	RON	50	0%	0%	Low	18																			
node js security scanner	RON	50	0%	0%	Low	16																			
secure development tools	RON	50	0%	0%	Low	21																			
secure process	RON	50	0%	-90%	Low	3																			
open vulnerability database	RON	50	900%	0%	Low	15	13.82	82.19																	
it security updates	RON	50	0%	0%	Low	7																			
software vulnerability report	RON	50	0%	0%	Medium	38	17.56	92.47																	
unsupported software risks	RON	50	0%	0%	Low	0																			
it security projects	RON	50	0%	0%	Low	32	16.63	48.87																	
about information security	RON	50	0%	0%	Low	32	12.68	40.29																	
security bug	RON	50	0%	-90%	Low	2																			
software developer security	RON	500	0%	0%	Low	4	6.96	51.15																	
java application security	RON	50	0%	-90%	Low	4																			
vulnerable libraries	RON	50	0%	0%	Low	25	10.65	84.27																	
github vulnerabilities	RON	50	0%	0%	Low	3																			
open web application	RON	50	900%	0%	Low	3	9.00	46.96																	
github security concerns	RON	50	0%	0%	Low	8																			
software update security	RON	50	0%	0%	Low	15	8.55	62.98																	
backend security	RON	50	0%	0%	Low	25	19.58	54.63																	
building secure web applications	RON	50	0%	0%	Low	0																			
vulnerability remediation meaning	RON	50	0%	0%	Low	7																			
api vulnerability list	RON	50	∞	0%	Low	29																			
web developer security	RON	50	0%	0%	Low	9	9.34	135.71																	
java api security	RON	50	0%	0%	Low	8																			
website vulnerabilities list	RON	50	0%	0%	Low	31																			
security projects	RON	500	0%	0%	Low	4	11.35	108.68																	
api security blog	RON	50	-100%	-100%	Unknown																				
frontend security	RON	50	900%	900%	Low	17	17.91	64.32																	
vex vulnerability	RON	50	0%	0%	Low	22	19.25	96.22																	
dependency vulnerabilities	RON	50	0%	0%	Low	17	10.73	34.80																	
security standards for software development	RON	50	0%	0%	Medium	43	21.71	63.27																	
apache antivirus	RON	50	-100%	-100%	Unknown																				
security issue	RON	500	0%	0%	Low	5	14.85	46.43																	
vulnerabilities web	RON	500	0%	0%	Low	2	11.35	79.11																	
security release	RON	500	0%	0%	Low	0																			
vulnerability api	RON	50	0%	0%	Low	27	41.57	112.68																	
angular security issues	RON	50	0%	0%	Low	7																			
tomcat security	RON	50	0%	0%	Low	24	21.24	180.04																	
source scanner	RON	50	0%	0%	Low	10																			
apache tomcat vulnerability	RON	500	0%	-90%	Low	13	8.54	23.09																	
php security tools	RON	50	0%	0%	Low	7																			
critical security issues	RON	50	0%	0%	Low	14																			
python security risks	RON	50	0%	0%	Low	14																			
software vulnerability tools	RON	5000	900%	0%	Low	8	75.37	327.74																	
sap bug bounty	RON	50	0%	0%	Low	13																			
security available	RON	50	-90%	0%	Low	15	5.68	58.33																	
secure it software	RON	50	0%	0%	Low	25	20.64	152.70																	
node js security issues	RON	50	0%	0%	Low	14	15.31	27.98																	
web application report	RON	50	0%	0%	Low	0																			
apache tomcat security	RON	50	0%	0%	Low	24	21.24	180.04																	
security tech stack	RON	50	0%	0%	Low	24	28.48	84.11																	
security in react	RON	50	0%	0%	Low	4																			
latest web vulnerabilities	RON	50	0%	0%	Low	29																			
security python	RON	500	0%	0%	Low	7	11.14	74.57																	
patching list	RON	50	0%	-90%	Low	1																			
php security issues	RON	50	0%	-90%	Low	3																			
security in frontend	RON	50	0%	0%	Low	0																			
spring security vulnerabilities	RON	50	0%	0%	Low	12																			
dependency security scanning	RON	50	0%	0%	Low	4																			
application risk	RON	50	0%	0%	Low	12	26.72	222.33																	
secure laravel application	RON	50	0%	-100%	Unknown																				
node js api security	RON	50	0%	0%	Low	29																			
client security	RON	500	0%	0%	Low	23	7.99	72.16																	
software security patches	RON	50	0%	0%	Medium	53																			
vex security	RON	50	0%	0%	Low	17	19.77	64.73																	
security patch level means	RON	50	0%	0%	Low	0																			
software patch update	RON	50	0%	0%	Low	26	64.60	162.75																	
technical vulnerabilities	RON	50	0%	0%	Low	7	12.32	32.49																	
api bug bounty	RON	50	0%	0%	Low	3																			
node security vulnerabilities	RON	500	0%	0%	Low	10	9.99	32.51																	
patch remediation	RON	50	0%	0%	Low	33	70.03	110.07																	
security web server	RON	500	0%	0%	Low	14	27.98	111.17																	
api in security	RON	50	0%	0%	Low	32	133.40	297.22																	
back end security	RON	50	0%	0%	Low	0																			
securing github	RON	50	0%	0%	Medium	33	38.55	177.87																	
patch in security	RON	50	0%	-100%	Unknown																				
server security issues	RON	50	0%	0%	High	86																			
server vulnerabilities	RON	50	0%	0%	Low	11																			
express js security	RON	50	0%	0%	Low	3																			
security patch management software	RON	50	0%	0%	Low	5																			
https software	RON	50	0%	0%	Low	19																			
side security	RON	50	0%	0%	Low	11																			
critical vulnerability	RON	500	0%	0%	Low	3	9.99	45.79																	
api detection	RON	50	0%	0%	Low	30	9.58	68.60																	
key management service open source	RON	50	0%	0%	Low	14																			
apache tomcat patch	RON	500	0%	0%	High	95	2.52	44.47																	
secure soft technologies	RON	50	0%	0%	Low	3																			
vulnerable software	RON	500	0%	0%	Low	19	40.82	237.33																	
open security framework	RON	50	0%	0%	Low	25																			
server side vulnerabilities	RON	50	0%	0%	Low	4																			
secure software solutions	RON	500	0%	-90%	Low	15	51.20	444.66																	
